//Index	  Name							Damage	 MP		BP		Range	Radio	Delay	Type   Effect	ReqLevel	ReqEnergy	ReqLeadership	ReqKillCount   ReqGuildStatus	DW		DK		FE		MG		DL		SU		RF		GL		RW		SL		GC		KUN		LEM		KIN		ALC
31		  "召唤 石巨人"					0		 70		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
32		  "召唤 暗杀者"					0		 110	 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
33		  "召唤 雪人王"					0		 160	 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
34		  "召唤 暗黑骑士"					0		 200	 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
35		  "召唤 守护兽巴里"				0		 250	 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
36		  "召唤 黄金斗士"					0		 350	 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
38		  "毒炎"							95		 110	 7		 6		 4		 0		 1		55		 96			0			0				0			   0				2		0		0		0		0		0		0		0		0		0		0		0		0		0		0
39		  "暴风雪"						80		 100	 5		 6		 4		 0		 0		56		 93			0			0				0			   0				2		0		0		1		0		0		0		0		0		0		0		0		0		0		0
40		  "星辰一怒"						0		 180	 45		 0		 6		 0		 3		0		 100		0			0				0			   0				2		0		0		0		0		0		0		0		0		0		0		0		0		0		0
41		  "霹雳回旋斩"					0		 10		 10		 0		 3		 0		 5		0		 0			0			0				0			   0				0		1		0		1		0		0		0		0		0		0		0		0		0		0		0
42		  "雷霆裂闪"						60		 25		 20		 0		 4		 0		 4		0		 170		0			0				0			   0				0		2		0		0		0		0		0		0		0		0		0		0		0		0		0
43		  "袭风刺"						70		 15		 12		 2		 2		 0		 5		0		 160		0			0				0			   0				0		2		0		0		0		0		0		0		0		0		0		0		0		0		0
44		  "半月斩"						90		 22		 15		 4		 0		 0		 *		0		 0			0			0				0			   0				0		1		0		0		0		0		0		0		0		0		0		0		0		0		0
45		  "回旋刃"						90		 150	 10		 6		 0		 0		 *		0		 0			0			0				0			   0				1		0		0		0		0		1		0		0		1		0		0		0		0		0		0
46		  "天堂之箭"						120		 20		 15		 8		 0		 0		 *		0		 0			0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
47		  "钻云枪"						15		 8		 0		 0		 6		 0		 *		0		 28			0			0				0			   0				0		1		0		1		0		0		0		0		0		0		0		0		0		0		0
48		  "生命之光"						0		 22		 24		 0		 5		 0		 *		8		 120		0			0				0			   0				0		1		0		0		0		0		0		0		0		0		0		0		0		0		0
49		  "流星焰"						30		 9		 0		 3		 0		 0		 *		0		 110		0			0				0			   0				0		1		0		0		0		0		0		0		0		0		0		0		0		0		0
50		  "恶魔的咆哮(怪物)"				0		 0		 0		 0		 6		 0		 *		0		 60			0			0				0			   0				0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
51		  "冰封箭"						105		 10		 12		 8		 0		 0		 0		57		 0			0			0				0			   0				0		0		2		0		0		0		0		0		0		0		0		0		0		0		0
52		  "穿透箭"						70		 7		 9		 6		 6		 0		 5		0		 130		0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
55		  "玄月斩"						80		 15		 20		 2		 6		 0		 1		58		 0			0			0				0			   0				0		0		0		1		0		0		0		0		0		0		0		0		0		0		0
56		  "天雷闪"						0		 15		 0		 0		 5		 0		 *		0		 0			0			0				0			   0				0		0		0		1		0		0		0		0		0		0		0		0		0		0		0
57		  "风舞回旋斩"					75		 20		 15		 5		 0		 0		 *		0		 0			0			0				0			   0				0		0		0		1		0		0		0		0		0		0		0		0		0		0		0
60		  "冲击"							10		 10		 0		 4		 0		 0		 *		0		 0			0			0				0			   0				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
61		  "星云火链"						100		 25		 0		 6		 3		 0		 *		0		 74			0			0				0			   0				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
62		  "地裂"							150		 0		 50		 0		 5		 10000	 2		0		 0			0			0				0			   0				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
63		  "星云召唤"						0		 70		 30		 0		 0		 30000	 *		0		 98			0			0				0			   0				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
64		  "致命圣印"						0		 50		 50		 6		 6		 0		 *		5		 82			0			0				0			   0				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
65		  "圣极光"						250		 0		 100	 0		 6		 5000	 *		0		 92			0			0				0			   0				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
66		  "冲击波"						50		 10		 0		 4		 3		 0		 *		0		 0			0			0				0			   0				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
67		  "束缚术"						0		 70		 50		 0		 5		 0		 *		61		 0			0			0				4			   32				1		1		1		1		1		1		1		1		1		1		1		1		1		1		1
68		  "解除束缚"						0		 25		 30		 0		 5		 0		 *		0		 0			0			0				2			   32				1		1		1		1		1		1		1		1		1		1		1		1		1		1		1
69		  "增益魔法"						0		 35		 30		 0		 5		 0		 *		9		 0			0			0				4			   32				1		1		1		1		1		1		1		1		1		1		1		1		1		1		1
70		  "透明术"						0		 80		 60		 6		 0		 0		 *		18		 0			0			0				5			   192				1		1		1		1		1		1		1		1		1		1		1		1		1		1		1
71		  "解除透明"						0		 40		 30		 0		 5		 0		 *		0		 0			0			0				2			   192				1		1		1		1		1		1		1		1		1		1		1		1		1		1		1
72		  "解除魔法"						0		 90		 70		 0		 5		 0		 *		0		 0			0			0				8			   128				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
73		  "幻魔光束"						85		 130	 7		 6		 0		 0		 *		0		 0			0			0				0			   0				0		0		0		1		0		0		0		0		0		0		0		0		0		0		0
74		  "神圣火焰"						150		 30		 10		 6		 0		 0		 *		0		 0			0			0				0			   0				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
75		  "爆裂击"						0		 100	 35		 0		 5		 0		 *		0		 0			0			0				0			   0				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
76		  "炎狼闪电链"					60		 50		 20		 0		 5		 1500	 *		0		 110		0			0				0			   0				2		2		2		1		1		2		1		0		0		0		0		0		0		0		0
77		  "无影箭"						0		 50		 10		 0		 0		 200	 *		6		 220		0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
78		  "火舞旋风"						130		 45		 10		 4		 6		 0		 *		0		 102		0			0				0			   0				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
79		  "星爆"							0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
200		  "怪物召唤"						0		 40		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
201		  "魔法攻击免疫"					0		 40		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
202		  "物理攻击免疫"					0		 40		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
210		  "保护咒语"						0		 30		 0		 0		 0		 0		 0		0		 0			0			0				5			   0				1		1		1		1		1		1		1		1		1		1		1		1		1		1		1
211		  "束缚咒语"						0		 30		 0		 3		 0		 0		 0		0		 0			0			0				5			   0				1		1		1		1		1		1		1		1		1		1		1		1		1		1		1
212		  "追踪咒语"						0		 30		 0		 0		 0		 0		 0		0		 0			0			0				10			   0				1		1		1		1		1		1		1		1		1		1		1		1		1		1		1
213		  "腐蚀咒语"						0		 30		 0		 3		 0		 0		 0		0		 0			0			0				5			   0				1		1		1		1		1		1		1		1		1		1		1		1		1		1		1
214		  "摄魂咒"						35		 50		 0		 6		 0		 0		 *		0		 35			0			0				0			   0				0		0		0		0		0		1		0		0		0		0		0		0		0		0		0
215		  "链雷咒"						70		 85		 0		 6		 3		 0		 2		0		 75			0			0				0			   0				0		0		0		0		0		1		0		0		0		0		0		0		0		0		0
216		  "电涌咒"						90		 100	 0		 6		 0		 0		 *		0		 0			0			0				0			   0				0		0		0		0		0		1		0		0		0		0		0		0		0		0		0
217		  "伤害反射"						0		 40		 10		 6		 0		 5000	 *		71		 80			0			0				0			   0				0		0		0		0		0		1		0		0		0		0		0		0		0		0		0
218		  "狂暴术"						0		 100	 50		 0		 0		 5000	 *		81		 83			0			0				0			   0				0		0		0		0		0		1		0		0		0		0		0		0		0		0		0
219		  "昏睡术"						0		 20		 3		 6		 0		 0		 *		72		 40			0			0				0			   0				0		0		0		0		0		1		0		0		0		0		0		0		0		0		0
221		  "虚弱阵"						0		 50		 15		 0		 5		 4000	 *		76		 93			0			0				0			   0				0		0		0		0		0		1		0		0		0		0		0		0		0		0		0
222		  "破御阵"						0		 70		 15		 0		 5		 4000	 *		77		 111		0			0				0			   0				0		0		0		0		0		1		0		0		0		0		0		0		0		0		0
223		  "爆裂击"						40		 90		 5		 6		 3		 4000	 3		75		 50			0			0				0			   0				0		0		0		0		0		1		0		0		0		0		0		0		0		0		0
224		  "安魂弥撒"						65		 110	 10		 6		 4		 4000	 5		74		 75			0			0				0			   0				0		0		0		0		0		1		0		0		0		0		0		0		0		0		0
225		  "污染"							80		 120	 15		 6		 5		 4000	 2		56		 85			0			0				0			   0				0		0		0		0		0		1		0		0		0		0		0		0		0		0		0
230		  "烈光闪"						95		 115	 7		 0		 5		 0		 2		85		 93			0			0				0			   0				0		0		0		0		0		1		0		0		0		0		0		0		0		0		0
232		  "致命一击"						110		 30		 24		 6		 3		 0		 0		86		 100		0			0				0			   0				0		2		0		0		0		0		0		0		0		0		0		0		0		0		0
233		  "法神附体"						0		 200	 50		 0		 0		 0		 *		82		 220		0			0				0			   0				2		0		0		0		0		0		0		0		0		0		0		0		0		0		0
234		  "防护值恢复"					0		 40		 10		 6		 0		 0		 *		0		 100		0			0				0			   0				0		0		2		0		0		0		0		0		0		0		0		0		0		0		0
235		  "五重箭"						40		 10		 7		 0		 6		 0		 *		0		 100		0			0				0			   0				0		0		2		0		0		0		0		0		0		0		0		0		0		0		0
236		  "火剑袭"						140		 20		 25		 0		 5		 0		 3		83		 100		0			0				0			   0				0		0		0		1		0		0		0		0		0		0		0		0		0		0		0
237		  "闪电轰顶"						110		 120	 10		 0		 6		 0		 5		84		 220		0			0				0			   0				0		0		0		1		0		0		0		0		0		0		0		0		0		0		0
238		  "黑暗之力"						190		 50		 15		 0		 6		 0		 *		0		 100		0			0				0			   0				0		0		0		0		1		0		0		0		0		0		0		0		0		0		0
239		  "生魂广场自爆技能"				140		 20		 25		 0		 3		 0		 3		0		 0			0			0				0			   0				0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
260		  "幽冥青狼拳"					0		 9		 0		 2		 0		 0		 4		76		 0			0			0				0			   0				0		0		0		0		0		0		1		0		0		0		0		0		0		0		0
261		  "斗气爆裂拳"					0		 9		 0		 2		 0		 0		 3		58		 0			0			0				0			   0				0		0		0		0		0		0		1		0		0		0		0		0		0		0		0
262		  "回旋踢"						0		 15		 20		 4		 0		 700	 0		86		 150		0			0				0			   0				0		0		0		0		0		0		1		0		0		0		0		0		0		0		0
263		  "幽冥光速拳"					0		 70		 0		 4		 3		 0		 5		0		 180		0			0				0			   0				0		0		0		0		0		0		1		0		0		0		0		0		0		0		0
264		  "炎龙拳"						0		 50		 30		 3		 5		 700	 4		0		 150		0			0				0			   0				0		0		0		0		0		0		1		0		0		0		0		0		0		0		0
265		  "嗜血之龙"						0		 100	 100	 4		 0		 3000	 5		0		 200		0			0				0			   0				0		0		0		0		0		0		1		0		0		0		0		0		0		0		0
266		  "斗神-破"						0		 50		 10		 0		 0		 0		 *		129		 120		0			0				0			   0				0		0		0		0		0		0		1		0		0		0		0		0		0		0		0
267		  "斗神-命"						0		 50		 10		 0		 5		 0		 *		130		 80			0			0				0			   0				0		0		0		0		0		0		1		0		0		0		0		0		0		0		0
268		  "斗神-御"						0		 50		 10		 0		 5		 0		 *		131		 50			0			0				0			   0				0		0		0		0		0		0		1		0		0		0		0		0		0		0		0
269		  "冲锋"							90		 20		 15		 4		 0		 0		 *		0		 0			0			0				0			   0				0		0		0		0		0		0		1		0		0		0		0		0		0		0		0
270		  "神圣气旋"						0		 30		 0		 4		 3		 1200	 *		0		 0			0			0				0			   0				0		0		0		0		0		0		1		0		0		0		0		0		0		0		0
300		  "减少耐久 (1)"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
301		  "PVP防御率提高"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
302		  "提高最大SD"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
303		  "魔法值自动恢复力提高"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
304		  "毒抵抗力提高"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
305		  "减少耐久 (2)"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
306		  "SD自动恢复力提高"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
307		  "生命值自动恢复力提高"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
308		  "雷抵抗力提高"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
309		  "防御力增加"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
310		  "AG值自动恢复力提高"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
311		  "冰抵抗力提高"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
312		  "减少耐久 (3)"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
313		  "防御成功率提高"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
315		  "套装防御力增加"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
316		  "复仇"							0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
317		  "智力属性增加"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
318		  "体力属性增加"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
319		  "敏捷属性增加"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
320		  "力量属性增加"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
322		  "暴风之翼防御强化"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
324		  "暴风之翼攻击强化"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
325		  "攻击成功率提高"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
326		  "旋风斩强化"						0		 9		 0		 2		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
327		  "天地十字剑强化"					0		 10		 0		 2		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
328		  "地裂斩强化"						0		 9		 0		 3		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
329		  "牙突刺强化"						0		 9		 0		 2		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
330		  "霹雳回旋斩强化"					0		 10		 10		 0		 3		 0		 5		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
331		  "雷霆裂闪强化"					60		 25		 22		 0		 4		 0		 4		0		 170		0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
332		  "霹雳回旋斩精通"					0		 22		 20		 0		 3		 0		 5		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
333		  "雷霆裂闪精通"					60		 50		 30		 0		 4		 0		 4		0		 170		0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
334		  "最大生命力 增加"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
335		  "武器精通"						0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
336		  "袭风刺强化"						70		 15		 13		 2		 2		 0		 5		0		 160		0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
337		  "致命一击强化"					110		 30		 24		 6		 3		 0		 0		86		 160		0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
338		  "最大魔法值增加"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
339		  "袭风刺熟练"					70		 30		 26		 2		 2		 0		 5		0		 160		0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
340		  "致命一击熟练"					110		 30		 24		 6		 3		 0		 0		86		 121		0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
341		  "最大AG 增加"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
342		  "袭风刺精通"					70		 30		 26		 2		 2		 0		 5		0		 160		0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
343		  "致命一击精通"					110		 30		 24		 6		 3		 0		 0		86		 100		0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
344		  "血腥风暴"						25		 87		 29		 3		 4		 10000	 *		0		 0			0			0				0			   0				0		3		0		3		0		0		0		0		0		0		0		0		0		0		0
345		  "增加连击伤害"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
346		  "血腥风暴强化"					25		 95		 31		 3		 4		 10000	 *		0		 0			0			0				0			   0				0		3		0		3		0		0		0		0		0		0		0		0		0		0		0
347		  "PVP攻击率提高"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
348		  "双手剑强化"						0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		3		0		0		0		0		0		0		0		0		0		0		0
349		  "单手剑强化"						0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		3		0		0		0		0		0		0		0		0		0		0		0
350		  "钝器类强化"						0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
351		  "枪类强化"						0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
352		  "双手剑精通"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		3		0		0		0		0		0		0		0		0		0		0		0
353		  "单手剑精通"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		3		0		0		0		0		0		0		0		0		0		0		0
354		  "钝器类精通"						0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
355		  "枪类精通"						0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
356		  "生命之光强化"					0		 24		 26		 0		 5		 0		 *		8		 120		0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
357		  "魔法值减少"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
358		  "杀怪时SD恢复"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
359		  "杀怪时生命力恢复"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
360		  "生命之光熟练"					0		 26		 28		 0		 5		 0		 *		135		 120		0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
361		  "最小攻击力提高"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		3		3		0		0		0		0		0		0		0		0		0		0
362		  "杀怪时魔法值恢复"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
363		  "生命之光精通"					0		 28		 30		 0		 5		 0		 *		136		 120		0			0				0			   0				0		3		0		0		0		0		0		0		0		0		0		0		0		0		0
364		  "最大攻击力提高"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		3		0		3		3		0		0		0		0		0		0		0		0		0		0
366		  "致命一击几率提高"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
367		  "魔法值完全恢复"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
368		  "生命力完全恢复"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
369		  "卓越一击几率提高"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
370		  "双倍攻击几率提高"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
371		  "无视防御几率提高"				0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
372		  "SD完全恢复"					0		 0		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				3		3		3		3		3		3		0		0		0		0		0		0		0		0		0
