//Index   Message
148       "Devil Square đã kết thúc"
149       "Bạn chưa đủ mạnh để vào Devil Square"
160       "Người chơi mục tiêu không trực tuyến"
161       "Bạn không thể duel lúc này"
162       "Người chơi kia tự động từ chối lời mời duel của bạn"
163       "Bạn đã mời hoặc đã được mời duel"
164       "Người chơi kia đã mời hoặc được mời duel"
165       "Bạn không thể duel khi đang trong Guild War"
166       "Người chơi kia không thể duel vì đang trong Guild War"
167       "Bạn không thể duel ở bản đồ này"
168       "Bạn không thể duel khi đang Castle Siege"
169       "Tên người chơi kia không hợp lệ"
170       "Bạn không thể duel khi đang trong trạng thái Self Defense"
171       "Người chơi kia không thể duel khi đang trong trạng thái Self Defense"
172       "Người chơi mục tiêu đã từ chối yêu cầu duel của bạn"
173       "Tất cả sàn đấu đều đang đầy"
174       "Trận Duel giữa %s và %s đã bắt đầu!"
175       "Người chơi %s đã chiến thắng %s trong trận duel!"
176       "Illusion Temple sẽ đóng trong %d phút nữa"
177       "Illusion Temple đã đóng"
178       "Illusion Temple %d sẽ bắt đầu trong %d phút nữa"
179       "Illusion Temple đã bắt đầu"
180       "Illusion Temple đã kết thúc"
181       "Bạn chưa đủ mạnh để vào Illusion Temple"
182       "Bạn không có item cần thiết để vào Illusion Temple"
183       "Người chơi %s đã đánh rơi cổ vật"
184       "Người chơi %s đã nhặt được cổ vật"
192       "Skeleton King vừa xâm nhập!"
193       "Red Dragon vừa xâm nhập!"
194       "Quái Vàng (Dourados) vừa xâm nhập!"
195       "White Wizard vừa xâm nhập!"
196       "Sự kiện Năm Mới vừa bắt đầu!"
197       "Sự kiện Thỏ (Coelhos) vừa bắt đầu!"
198       "Sự kiện Mùa Hè vừa bắt đầu!"
199       "Sự kiện Giáng Sinh vừa bắt đầu!"
200       "Medusa vừa xâm nhập!"
202       "Người chơi %s đã hạ gục Skeleton King!"
203       "Người chơi %s đã hạ gục Red Dragon!"
204       "Người chơi %s đã hạ gục Golden Great Dragon!"
205       "Người chơi %s đã hạ gục White Wizard!"
206       "Người chơi %s đã hạ gục Cursed Santa!"
207       "Người chơi %s đã hạ gục Medusa!"
208       "Moss Merchant vừa xuất hiện!"
209       "Moss Merchant đã rời đi!"
210       "Sự kiện Triệu Hồi Quỷ (Invocação de Demônios) vừa bắt đầu!"
211       "Sự kiện Trứng (Evento dos Ovos) vừa bắt đầu!"
224       "Bạn phải đạt ít nhất cấp độ %d mới có thể di chuyển"
225       "Bạn cần ít nhất %d zen để di chuyển"
226       "Hiện bạn không thể di chuyển"
227       "Người mang trạng thái Assassin không thể di chuyển"
228       "Bạn không có trang bị phù hợp để di chuyển"
229       "Chỉ các thành viên của gia đình Gens mới được di chuyển"
230       "Bạn phải ở tối đa cấp độ %d để có thể di chuyển"
231       "Bạn cần ít nhất %d lần reset để di chuyển"
232       "Bạn phải có tối đa %d lần reset để di chuyển"
240       "Senior hiện không hoạt động"
241       "Senior không hoạt động trong Castle Siege"
242       "Bạn phải ở trong guild chủ lâu đài mới được dùng Senior"
243       "Bạn phải là chủ guild mới được dùng Senior"
244       "Guardsman không hoạt động trong Castle Siege"
245       "Bạn đã có guild rồi"
246       "Bạn chưa đủ level để tạo guild"
247       "Shop đang trống"
248       "Cấp tài khoản: Free"
249       "Cấp tài khoản: Bronze (%s)"
250       "Cấp tài khoản: Prata (%s)"
251       "Cấp tài khoản: Ouro (%s)"
256       "Chào mừng %s đến với Mu Lenda"
257       "Bạn cần ít nhất cấp độ 40 để dùng nhẫn"
258       "Bạn cần ít nhất cấp độ 80 để dùng nhẫn"
259       "Bạn không thể di chuyển đến bản đồ này lúc này"
260       "Bạn không thể nhặt item này lúc này"
261       "Bạn không thể thoát game khi đang mở Trade"
262       "Bạn không thể thoát game khi đang mở Rương (Vault)"
263       "Bạn không thể thoát game khi đang mở Chaos Machine"
264       "Bạn không thể thoát game khi đang mở Trainer"
265       "Bạn không thể thoát game khi đang trong Self Defense"
266       "Bạn đã đạt cấp độ tối đa"
267       "Bạn đã đạt cấp độ master tối đa"
268       "Bạn chỉ có thể cộng %d điểm"
269       "Bạn không thể chat trong %d giây"
270       "Bạn không thể nhắn tin cho chính mình"
271       "Xin chào, tôi là người gác cổng vui vẻ"
272       "Không thể thực hiện dịch chuyển"
273       "Bạn sẽ được dịch chuyển trong %d giây"
274       "Bạn không thể di chuyển đến bản đồ này khi đang cưỡi thú"
275       "Bạn không thể di chuyển đến bản đồ này nếu không có cánh"
276       "Quà tặng từ CashShop"
304       "Ice Walker đã xuất hiện!"
305       "Bạn chưa đủ mạnh để vào Double Goer"
306       "Ice Walker đã bị hạ gục!"
320       "Selupan xuất hiện! Cổng ấp trứng sẽ đóng trong %d phút nữa"
321       "Cổng ấp trứng đã đóng"
322       "Người chơi %s đã hạ gục Selupan!"
323       "Cổng ấp trứng sẽ mở lại sau %d phút"
324       "Cổng ấp trứng đã mở!"
325       "Cổng ấp trứng đang đóng"
336       "Tòa Tháp Tinh Luyện (Refinamento) sẽ đóng trong 60 phút"
337       "Tòa Tháp Tinh Luyện sẽ đóng trong 20 phút"
338       "Cổng Kanturu sẽ mở trong 1 phút nữa"
339       "Trận chiến với Maya sắp bắt đầu, hãy sẵn sàng"
340       "Trận kế tiếp sẽ bắt đầu trong 1 phút nữa"
341       "Nightmare đã xuất hiện! Hãy đánh bại nó để mở Tháp Tinh Luyện"
342       "Nightmare đã bị hạ gục! Tháp Tinh Luyện được mở"
343       "Đã hết thời gian, bạn sẽ bị đưa ra khỏi sự kiện"
352       "Castle Deep sẽ bắt đầu trong 5 phút nữa"
353       "Castle Deep đã bắt đầu"
354       "Castle Deep đã kết thúc"
355       "Erohim đã bị hạ bởi người chơi %s"
356       "%s đã bị hạ bởi người chơi %s"
368       "Balgass đã liên minh với quân Kundun và chuẩn bị tấn công pháo đài Crywolf"
369       "Đội quân Balgass đã sẵn sàng tấn công pháo đài Crywolf"
370       "Đội quân Balgass đang hành quân về pháo đài Crywolf"
371       "Đội quân Balgass đang tiếp cận pháo đài Crywolf"
372       "Không có Elf nào kết nối với bệ thờ, tượng sói thiêng không được bảo vệ"
373       "Balgass sẽ sống đến cuối trận chiến"
374       "Thất bại trong phòng thủ! Tượng sói thiêng đã bị Balgass chiếm giữ"
375       "Phòng thủ thành công! Tượng sói thiêng đã được bảo vệ"
376       "Thời gian để kết nối các Bệ Thờ Sói sẽ bắt đầu trong %d giây"
377       "Thời gian để kết nối các Bệ Thờ Sói sẽ bắt đầu trong %d phút"
378       "Đội quân Balgass sẽ tấn công sau %d giây"
379       "Đội quân Balgass sẽ tấn công sau %d phút"
380       "Không có Elf bảo vệ, tượng sói thiêng đã mất hàng rào"
381       "Balgass đã đến! Hãy bảo vệ tượng sói thiêng"
382       "Quân Balgass đang tấn công tượng sói thiêng"
383       "Đội quân Balgass đã bị đánh bại với sự hỗ trợ của các anh hùng"
384       "Xếp hạng MvP: %d"
385       "Kinh nghiệm MvP: %d"
386       "Balgass bị %s hạ gục!"
387       "Balgass đã bị hạ gục!"
388       "Dark Elf %d bị %s hạ gục!"
389       "Điểm MvP: %d"
390       "Kết nối với bệ thờ %d"
391       "%s đã kết nối với bệ thờ %d"
392       "Bệ thờ %d đã được kết nối"
393       "Chưa tới thời gian kết nối bệ thờ %d"
394       "Bệ thờ %d đã được kết nối quá 2 lần"
395       "Vị trí kết nối bệ thờ %d không đúng"
396       "%s đang cố gắng kết nối bệ thờ %d"
397       "Bạn sẽ kết nối bệ thờ trong 5 giây"
398       "Đừng di chuyển cho đến khi kết nối xong"
399       "Kết nối với bệ thờ %d bị hủy"
400       "Tượng sói thiêng đã mất lá chắn"
401       "Lượt kết nối: %d, HP Tượng: %d"
402       "Lá chắn tượng sói thiêng đã được tạo"
403       "Để kết nối cần Elf cấp 260 trở lên"
416       "Castle Siege đã kết thúc"
417       "Thời gian đăng ký Castle Siege đã bắt đầu"
418       "Thời gian đăng ký emblem của Castle Siege đã bắt đầu"
419       "Thời gian chọn guild tham gia Castle Siege đã bắt đầu"
420       "Việc chọn guild Castle Siege đã hoàn tất"
421       "Thời gian chuẩn bị Castle Siege đã bắt đầu"
422       "Castle Siege sẽ bắt đầu trong %d phút nữa"
423       "Castle Siege đang diễn ra"
424       "Guild %s đã bảo vệ thành công tòa thành"
425       "Guild %s đã trở thành chủ nhân mới của lâu đài"
426       "Chưa có chủ sở hữu lâu đài"
427       "Chỉ còn lại Tượng Thủ Hộ"
432       "Chức vụ của %s đã thay đổi thành Trợ Lý Guild Master"
433       "Chức vụ của %s đã thay đổi thành Chiến Tướng"
434       "Chức vụ của %s đã thay đổi thành Thành Viên Guild"
435       "Loại Guild của %s đã chuyển thành %d"
436       "Guild đã tham gia liên minh %s"
437       "Guild bây giờ là kẻ thù của guild %s"
438       "Guild %s đã tham gia liên minh %s"
439       "Guild đã rời khỏi liên minh"
440       "Guild %s đã rời khỏi liên minh %s"
441       "Guild không còn thuộc liên minh %s"
442       "Guild không còn là kẻ thù của %s"
443       "Liên minh %s đã giải tán"
448       "Bạn không thể triệu hồi Life Stone ngoài Castle Siege"
449       "Chỉ liên minh công thành (offensive) mới được triệu hồi Life Stone"
450       "Life Stone đã được triệu hồi trước đó"
451       "Bạn không thể đặt Life Stone trong Dragon Tower"
452       "Triệu hồi Life Stone thành công"
453       "Triệu hồi Life Stone thất bại"
464       "Bạn không thể triệu hồi lính ngoài Castle Siege"
465       "Chỉ liên minh phòng thủ (defensive) mới có thể triệu hồi lính"
466       "Chỉ guild master và trợ lý mới có thể triệu hồi lính"
467       "Đã vượt quá số lính tối đa"
468       "Triệu hồi lính thành công"
469       "Triệu hồi lính thất bại"
480       "Máy chủ đã đóng"
481       "Máy chủ sẽ tự động đóng trong %d giây"
482       "Item này bị trùng lặp, hãy liên hệ quản trị viên"
483       "Hết thời gian chặn chat của bạn"
484       "Bạn sẽ thoát game trong %d giây"
485       "Tự vệ tự động với %s đã bắt đầu"
486       "Tự vệ tự động với %s đã kết thúc"
487       "Máy chủ sẽ tắt trong 1 phút nữa"
488       "Máy chủ sẽ tắt trong 3 phút nữa"
489       "Máy chủ sẽ tắt trong 5 phút nữa"
490       "Trận đấu sẽ bắt đầu tự động trong 10 giây"
491       "%s giành được %d Jewel of Bless"
492       "%s đã hạ gục Fênix"
493       "Bạn nhận được %d điểm sự kiện và %d Golds"
494       "%s hạ gục 1 golden"
495       "Bạn nhận được %d điểm sự kiện và %d Golds"
496       "%s đã hạ Erohim"
497       "Bạn nhận được %d điểm sự kiện và %d Golds"
498       " "
499       "Hãy gỡ Errtel trước khi cất vật phẩm"
500       "[Rei do MU] Sự kiện bắt đầu"
501       "[Rei do MU] Sự kiện kết thúc"
502       "[Rei do MU] Bắt đầu sau %d phút"
503       "[Rei do MU] Guild %s đã chiếm lâu đài!"
504       "[Rei do MU] Bắt đầu sau %d giây"
505       " "
506       "Bạn không phải thành viên guild!"
507       "Guild bạn đang là chủ lâu đài!"
508       "Bạn không đứng đúng tọa độ!"
509       "Guild bạn cần ít nhất %d thành viên!"
510       "Chúc mừng! Guild bạn giờ làm chủ lâu đài!"
511       "[Rei do MU] Sự kiện sẽ kết thúc trong %d phút!"
512       " "
513       "Dọn sạch túi đồ thành công!"
514       "www.perfeczone.com.br"
515       "%s giết %s"
516       "%s giết %s"
517       " "
518       "Bạn không được phép dùng /setvip"
519       "Vip đã thêm thành công!"
520       "Tài khoản này không tồn tại!"
521       "%s Bạn không cần tôi giúp nữa"
522       "%s Gói vip của bạn không cho phép dùng buff này"
523       "%s Cần %d zen"
524       "%s Cần %d PCPoints"
525       "%s Bạn phải ở gia đình Vanert"
526       "%s Bạn phải ở gia đình Duprian"
527       "%s Bạn phải ở gia đình Duprian"
528       "%s Bạn phải ở gia đình Vanert"
529       "%s Cần %d điểm gia đình"
530       "%s Thời gian: %d phút"
531       "%s Đã trừ %d zen"
532       "%s Đã trừ %d PCPoint(s)"
533       "%s Buff đã áp dụng!"
602       "Bạn không thể cưới chính mình được 0,0!"
603       "Bạn vừa kết hôn với %s!"
604       "Bạn đã kết hôn rồi!"
605       "Người kia đã kết hôn rồi!"
												
606       "Cú pháp: [/marry to Tên | /marry divorce | /marry track hoặc trace]!"
607       "Bạn không thể ly hôn trong tuần đầu tiên sau khi cưới!"
608       "Bạn vừa ly hôn!"
609       "Bạn chưa kết hôn!"
610       "Bạn vừa track!"
611       "Bạn vừa trace!"
612       "%s vừa cưới %s!"
613       "%s vừa ly hôn %s!"
614       "[Hệ Thống Kết Hôn] Chúc mừng,"
615       "giữa %s và %s!"
616       "[Hệ Thống Kết Hôn] Không chấp nhận kết hôn đồng giới"
617       "Bạn cần ít nhất cấp %d để dùng lệnh này!"
618       "Người ấy cần ít nhất cấp %d để dùng lệnh này!"
619       "Hệ thống kết hôn đang tắt!"
620       "Bạn cần ít nhất %d zen để dùng lệnh này!"
621       "Bạn phải đứng đúng vị trí ở Devias2!"
622       "Người kia phải đứng đúng vị trí ở Devias2!"
623       "Thông tin: [Cấp tối thiểu: %d | Chi phí track&trace: %d zen]!"
624       "Bạn không thể ly hôn khi người kia đang offline!"
625       "Người kia đang offline!"
626       "Áp dụng skin %d cho %d người chơi!"
627       "Nhân vật %s không online!"
628       " "
629       " "
630       "Bạn cần cấp %d để sử dụng lệnh này!"
631       "Chỉ được dùng trong thành!"
632       "Cả bạn và đối thủ cần cấp %d để duel!"
633       "Tài khoản của bạn không được phép dùng lệnh này!"
634       "Cú pháp: [/classe dw, dk, elf, mg, dl, su]"
635       "Bạn phải chọn lớp khác với lớp hiện tại!"
636       "Hãy bỏ hết đồ trên nhân vật trước!"
637       "Lớp này không khả dụng!"
638       "Yêu cầu %d lần reset!"
639       "[GameMaster] %s đang trực tuyến!"
640       "%s đang trực tuyến!"
641       "Bạn không được phép sử dụng!"
642       "Không tìm thấy nhân vật!"
643       "Cú pháp: [/premiar CHAR TIPO VALOR]"
644       "Loại thưởng không khả dụng!"
645       "Giá trị thưởng cao hơn mức cho phép!"
646       "Thưởng thành công!"
647       "Bạn không thể tự thưởng cho chính mình!"
648       "Cú pháp: [/reload tipo | Ví dụ: /reload common]"
649       "Reload thành công!"
650       "Cú pháp: [/premiarall TIPO VALOR]"
651       "Tên tối đa 10 ký tự."
652       "Tên này đã tồn tại."
653       "Hãy đợi %d giây để dùng lại."
654       "Tên này đã tồn tại!"
655       "Đổi tên thành công!"
656       "Đổi tên thất bại!"
657       "Nhân vật %s đã đổi tên thành %s!"
658       "Bạn phải rời guild trước khi đổi tên."
659       "Bạn chưa thể dùng lúc này."
660       "[VELOZ] Đã bắt đầu lúc %s!"
661       "[VELOZ] Sự kiện kết thúc sau %d phút!"
662       "[VELOZ] Sự kiện kết thúc sau %d giây!"
663       "[VELOZ] Người chiến thắng %s!"
664       "[VELOZ] Sự kiện kết thúc - không có ai thắng!"
665       "[VELOZ] Chạy nhanh đến tọa độ (x:%d, y:%d)!"
666       "[VELOZ] Sự kiện kết thúc - Sự kiện bị hủy!"
667       "Lỗi khi ban!"
668       "Ban tài khoản thành công!"
669       "Ban nhân vật thành công!"
670       "[EVENTO] đóng sau %d giây"
671       "[EVENTO] Hết thời gian tham gia!"
672       "[EVENTO] Đã hủy!"
673       "[EVENTO] %s vừa bắt đầu sự kiện!"
674       "[EVENTO] Gõ /participar để tham gia!"
675       "[EVENTO] Người chơi %s đã tham gia!"
676       "[ESCESC] Kết thúc trong %d giây"
677       "[ESCESC] Kết thúc mà không có người thắng!"
678       "[ESCESC] Đã hủy!"
679       "[ESCESC] %s vừa bắt đầu sự kiện!"
680       "[ESCESC] Tìm GM để trade!"
681       "[ESCESC] %s đã thắng sự kiện!"
682       "[ESCESC] Sự kiện kết thúc sau %d phút!"
683       "[PEGAPEGA] Đóng!"
684       "[PEGAPEGA] Sự kiện bắt đầu. Chạy đi!"
685       "[PEGAPEGA] Hết giờ!"
686       "[PEGAPEGA] Đã hủy!"
687       "[PEGAPEGA] Mở!"
688       "[PEGAPEGA] Gõ /queroir để tham gia!"
689       "[PEGAPEGA] Người chơi %s đã tham gia!"
690       "[PEGAPEGA] %s đã thắng sự kiện!"
691       "[PEGAPEGA] %s bị bắt!"
692       "[QUEST %d] Bạn phải đạt cấp %d trở lên!"
693       "[QUEST %d] Bạn phải có %d Reset trở lên!"
694       "[QUEST %d] Bạn phải có %d Master Reset trở lên!"
695       "[QUEST %d] Bạn cần %d zen trở lên!"
696       "[QUEST %d] Bạn phải đến %s (x%d,y%d)!"
697       "[QUEST %d] Bạn không có gói vip phù hợp!"
698       "[QUEST %d] Cần item: %s!"
699       "[QUEST %d] Bạn cần giết %d %s (Còn: %d)!"
700       "[QUEST] Chúc mừng, bạn đã hoàn thành tất cả quest!"
701       "[QUEST %d] Hoàn thành! Bạn nhận được: %d WC, %d WP, %d GP!"
702       "Chúc mừng, bạn đã nhận được quà!"
703       "Bạn đã nhận hết quà!"
704       "[RoletaRussa] Đóng!"
705       "[RoletaRussa] Sự kiện bắt đầu!"
706       "[RoletaRussa] Hết giờ!"
707       "[RoletaRussa] Đã hủy!"
708       "[RoletaRussa] Mở (Tối đa %d người)!"
709       "[RoletaRussa] Gõ /queroir để tham gia!"
710       "[RoletaRussa] Người chơi %d: %s đã tham gia!"
711       "[RoletaRussa] %s đã thắng sự kiện!"
712       "[RoletaRussa] Đang nạp đạn...!"
713       "[RoletaRussa] Đang xoay ổ đạn...!"
714       "[RoletaRussa] Kéo cò...!"
715       "[RoletaRussa] BẮN!"
716       "[RoletaRussa] HeadShot %s bị loại!"
717       "[RoletaRussa] %s may mắn thoát chết!"
718       "[Rei do MU] Phát thưởng!!!!"
719       "[Rei do MU] Guild %s đã thắng sự kiện!"
720       "[Rei do MU] Thời gian chủ sở hữu: %d phút!"
721       "[Rei do MU] Tất cả thành viên guild online nhận được:"
722       "[Rei do MU] 10 WC!!!"
723       "[Rei do MU] Những người chiếm lâu đài nhiều nhất:"
724       "[Rei do MU] Thứ %d: %s (Guild: %s)!"
725       "[Rei do MU] Mỗi người nhận 10 WC!"
726       "[Rei do MU] Không có ai chiến thắng!"
730       "Đã thêm %d WC vào tài khoản!"
731       "Đã thêm %d WP vào tài khoản!"
732       "Đã thêm %d GP vào tài khoản!"
733       "Cú pháp: [/top tipo classe | Ví dụ: /top rr dk]"
734       "Cú pháp: [Lớp: dk,dw,fe,mg,dl,su]"
735       "Không có kết quả!"
736       "Hạng %d: %s (%d)"
737       "Điểm đã được phân phối lại"
738       "%s đã đạt danh hiệu %s!"
739       "Bạn đã đạt danh hiệu %s!"
740       "Tôi đã bị tắt =("
741       "Cần có 64 mảnh cùng loại trong hành trang"
742       "Cảm ơn, tôi đã nhận đồ và gửi quà cho bạn."
743       "Xin lỗi, tôi không hứng thú với những món này."
744       "Bạn đã đổi đồ lấy quà!"
745       "[%s] Bắt đầu sau %d phút!"
746       "[%s] Câu hỏi: (Dùng /resp để trả lời)"
747       "[%s] %s"
748       "[%s] %s đã thắng sự kiện!"
749       "[%s] Không có ai thắng!"
750       "[%s] Sai đáp án!"
751       "[%s] Đáp án: %s"
752       "[PickUp %s] Đã bật!"
753       "[PickUp %s] Đã tắt!"
754       "[PickUp] Tắt!"
755       "[ReMaster] MasterSkillTree đã được reset!"
756       "[ReMaster] Lỗi reset MasterSkillTree!"
757       "[BuyVip] Bạn không đủ tiền để mua!"
758       "[BuyVip] Chúc mừng, bạn đã mua gói %s!"
759       "[BuyVip] Gói bạn chọn thấp hơn gói vip hiện tại!"
760       "Đã trừ %d WC của bạn!"
761       "Đã trừ %d WP của bạn!"
762       "Đã trừ %d GP của bạn!"
763       "Bạn không thể dùng Custom Attack khi MuHelper đang hoạt động!"
764       "Bạn không thể dùng MuHelper khi Custom Attack đang hoạt động!"
765       "Không thể dùng trên cấp độ: %d"
766       "Chi phí sử dụng: %d WC!"
767       "Chi phí sử dụng: %d WP!"
768       "Chi phí sử dụng: %d GP!"
769       "Đội Alliance đã thắng sự kiện!"
770       "Đội Phanton đã thắng sự kiện!"
771       "[OffPvp] Đã bật"
772       "[OffPvp] Đã tắt"
773       "[Lock] Đã bật - Item bị khóa!"
774       "[Lock] Mật khẩu tối đa 8 ký tự!"
775       "[Lock] Đang bật, hãy dùng /unlock để mở!"
776       "[Lock] Đã tắt!"
777       "[Lock] Mật khẩu sai!"
778       "[Lock] Hành động bị khóa bởi mật khẩu!"
779       "Chỉ có thể bật lệnh này trong vùng an toàn"
780       "Cửa Hàng Cá Nhân trống hoặc item không có giá"
781       "CHÚ Ý!! Tất cả vật phẩm trong shop được bán bằng Jewel of Bless"
782       "CHÚ Ý!! Tất cả vật phẩm trong shop được bán bằng Jewel of Soul"
783       "CHÚ Ý!! Tất cả vật phẩm trong shop được bán bằng Jewel of Chaos"
784       "CHÚ Ý!! Tất cả vật phẩm trong shop được bán bằng WCoinC"
785       "CHÚ Ý!! Tất cả vật phẩm trong shop được bán bằng WCoinP"
786       "CHÚ Ý!! Tất cả vật phẩm trong shop được bán bằng Goblin Point"
787       "Bạn cần mở Cửa Hàng Cá Nhân trước"
788       "Lệnh sẽ hoạt động trong %d phút"
789       "Hết thời gian sử dụng /store"
790       "[Attack] Đã tắt"
791       "[Attack] Bạn không thể dùng ở đây"
792       "[Attack] Bạn không có Skill cần thiết để dùng"
793       "[Attack] Thời gian sử dụng: %d phút"
794       "[Attack] Hết thời gian"
795       "[Attack] Đã bật"
796       "[OffAttack] Bạn phải bật /attack trước"
797       "[OffAttack] Bạn không thể dùng ở đây"
798       "Guild này không tồn tại!"
799       "[PvP] Hết thời gian!"
800       "[PvP] Đã hủy!"
801       "[PvP] %s vs %s bắt đầu!"
802       "[PvP] %s %d x %d %s!"
803       "[PvP] %s đã thắng sự kiện!"
804       "[PvP] Đã bắt đầu!"
805       "[MataMata] Đóng!"
806       "[MataMata] Sự kiện bắt đầu!"
807       "[MataMata] Hết giờ!"
808       "[MataMata] Đã hủy!"
809       "[MataMata] Mở (Tối đa %d người)!"
810       "[MataMata] Gõ /queroir để tham gia!"
811       "[MataMata] Người chơi %d: %s đã tham gia!"
812       "[MataMata] Hạng 1 - %s (%d điểm)!"
813       "[MataMata] Hạng 2 - %s (%d điểm)!"
814       "[MataMata] Hạng 3 - %s (%d điểm)!"
815       "[MataMata] Hạng của bạn: %d ( %d điểm )!"
816       "[MataMata] Số điểm: %d!"
817       "Tên mới chứa nội dung không cho phép!"
818       "Yêu cầu: %d master reset."
819       "Không cho phép với %d master hoặc hơn"
820       "Cú pháp: [/pack (soul,bless,etc) (10,20,30)]"
821       "Cú pháp: [/unpack (soul,bless,etc) (10,20,30)]"
822       "Bạn không có đủ item cần thiết."
823       "Lệnh thực hiện thành công."
824       "Hành trang không đủ chỗ trống."
825       "[TvTEvent] đóng sau %d phút"
826       "Vào sự kiện Team vs Team"
827       "[TvTEvent] đã đóng!"
828       "[TvTEvent] sẽ bắt đầu sau %d phút"
829       "[TvTEvent] đã bắt đầu!"
